quote_date,item_id,p_mean,p25,p_median,p75,itemName,date,dateStata,dateISO,obs,year,month,quarter
200602,430138,99.989998,99.989998,99.989998,99.989998,.,217,01-02-2006,2006-02-01,100465,2006,2,1
200603,430138,131.33,99,99.989998,195,.,218,01-03-2006,2006-03-01,103882,2006,3,1
200604,430138,103.495,59.989998,94.494995,147,.,219,01-04-2006,2006-04-01,107567,2006,4,2
200605,430138,105.995,64.495003,99.494995,147.495,.,220,01-05-2006,2006-05-01,109228,2006,5,2
200606,430138,105.995,64.495003,99.494995,147.495,.,221,01-06-2006,2006-06-01,110194,2006,6,2
200607,430138,107.30102,99,99.989998,169.99001,.,222,01-07-2006,2006-07-01,107021,2006,7,3
200608,430138,104.85204,89.989998,99,169.99001,.,223,01-08-2006,2006-08-01,105147,2006,8,3
200609,430138,103.495,59.989998,94.494995,147,.,224,01-09-2006,2006-09-01,105598,2006,9,3
200610,430138,103.495,59.989998,94.494995,147,.,225,01-10-2006,2006-10-01,106345,2006,10,4
200611,430138,104.99333,29.99,89.989998,195,.,226,01-11-2006,2006-11-01,107067,2006,11,4
200612,430138,104.99333,29.99,89.989998,195,.,227,01-12-2006,2006-12-01,107974,2006,12,4
200701,430138,59.989998,29.99,59.989998,89.989998,.,228,01-01-2007,2007-01-01,94734,2007,1,1
200702,430138,59.989998,29.99,59.989998,89.989998,.,229,01-02-2007,2007-02-01,94993,2007,2,1
200703,430138,59.989998,29.99,59.989998,89.989998,.,230,01-03-2007,2007-03-01,99770,2007,3,1
200704,430138,59.989998,29.99,59.989998,89.989998,.,231,01-04-2007,2007-04-01,101168,2007,4,2
200705,430138,61.59,29.99,89.989998,89.989998,.,232,01-05-2007,2007-05-01,102992,2007,5,2
200706,430138,99.707146,29.99,89.989998,195,.,233,01-06-2007,2007-06-01,104456,2007,6,2
200707,430138,99.707146,29.99,89.989998,195,.,234,01-07-2007,2007-07-01,103584,2007,7,3
200708,430138,99.707146,29.99,89.989998,195,.,235,01-08-2007,2007-08-01,103198,2007,8,3
200709,430138,120.88333,29.99,89.989998,195,.,236,01-09-2007,2007-09-01,103769,2007,9,3
200710,430138,120.88333,29.99,89.989998,195,.,237,01-10-2007,2007-10-01,105114,2007,10,4
200711,430138,119.55,24.99,89.989998,195,.,238,01-11-2007,2007-11-01,107436,2007,11,4
200712,430138,148.32773,44.990002,89.989998,195,.,239,01-12-2007,2007-12-01,107286,2007,12,4
200801,430138,147.77148,59.990002,89.989998,195,.,240,01-01-2008,2008-01-01,102691,2008,1,1
200802,430138,204.7574,59.990002,99,195,.,241,01-02-2008,2008-02-01,100511,2008,2,1
200803,430138,223.72758,59.990002,145,219,.,242,01-03-2008,2008-03-01,105118,2008,3,1
200804,430138,213.3176,59.945,89.989998,195,.,243,01-04-2008,2008-04-01,99887,2008,4,2
200805,430138,197.10416,59.900002,88.949997,195,.,244,01-05-2008,2008-05-01,100583,2008,5,2
200806,430138,210.47723,59.900002,119,258.14999,.,245,01-06-2008,2008-06-01,101446,2008,6,2
200807,430138,183.33217,59.900002,117.14,195,.,246,01-07-2008,2008-07-01,102214,2008,7,3
200808,430138,201.49615,64,112.5,195,.,247,01-08-2008,2008-08-01,102314,2008,8,3
200809,430138,204.68689,57,107,195,.,248,01-09-2008,2008-09-01,102828,2008,9,3
200810,430138,245.56091,71.550003,134.55,373.60001,.,249,01-10-2008,2008-10-01,103994,2008,10,4
200811,430138,258.48581,71.550003,129,399,.,250,01-11-2008,2008-11-01,104756,2008,11,4
200812,430138,267.76865,68.5,117.45,418,.,251,01-12-2008,2008-12-01,101854,2008,12,4
200901,430138,242.60686,63.619999,102.28,390.51001,.,252,01-01-2009,2009-01-01,98184,2009,1,1
200902,430138,298.80396,53.825001,141.27499,492,.,253,01-02-2009,2009-02-01,91764,2009,2,1
200903,430138,304.69708,49.990002,126.025,505,.,254,01-03-2009,2009-03-01,97144,2009,3,1
200904,430138,297.37463,45,124,539,.,255,01-04-2009,2009-04-01,99211,2009,4,2
200905,430138,302.96219,53.82,124.87,539,.,256,01-05-2009,2009-05-01,100141,2009,5,2
200906,430138,307.93918,46.990002,119.87,554.5,.,257,01-06-2009,2009-06-01,99984,2009,6,2
200907,430138,269.24854,44.029999,120.74,468,.,258,01-07-2009,2009-07-01,100430,2009,7,3
200908,430138,275.37582,48.93,119,399,.,259,01-08-2009,2009-08-01,101010,2009,8,3
200909,430138,276.58749,42.490002,110.84,399,.,260,01-09-2009,2009-09-01,102020,2009,9,3
200910,430138,257.44205,49.745003,118.74,397,.,261,01-10-2009,2009-10-01,102962,2009,10,4
200911,430138,272.35068,65,124.99,369,.,262,01-11-2009,2009-11-01,104223,2009,11,4
200912,430138,277.97745,65,124.99,399,.,263,01-12-2009,2009-12-01,105319,2009,12,4
201001,430138,253.43993,53,124.99,349,.,264,01-01-2010,2010-01-01,101545,2010,1,1
201002,430138,250.53799,69,121.77,356.56,.,265,01-02-2010,2010-02-01,97889,2010,2,1
201003,430138,271.71478,74.5,162,359.5,.,266,01-03-2010,2010-03-01,102189,2010,3,1
201004,430138,266.07608,75,179.96001,383,.,267,01-04-2010,2010-04-01,104566,2010,4,2
201005,430138,275.43915,74.989998,155,383,.,268,01-05-2010,2010-05-01,105655,2010,5,2
201006,430138,312.81641,71.220001,155,399,.,269,01-06-2010,2010-06-01,106532,2010,6,2
201007,430138,294.75427,79,149.96001,369,.,270,01-07-2010,2010-07-01,107229,2010,7,3
201008,430138,296.22009,71.994995,179,399.5,.,271,01-08-2010,2010-08-01,108091,2010,8,3
